gvkey,conm,price_2019,price_2020,price_2021,price_2022,price_2023,price_2024,eps_2019,eps_2020,eps_2021,eps_2022,eps_2023,eps_2024
277956,EQ RESOURCES LTD,0.05,0.027,0.067,0.048,0.074,0.051,0.0067,-0.003,-0.0039,-0.0045,-0.0026,-0.0167
248783,EQUATORIAL RESOURCES LTD,0.27,0.285,0.215,0.19,0.155,0.12,0.0021,-0.0014,-0.0608,-0.1387,-0.0337,-0.0135
350256,EQUINOX RESOURCES LIMITED,NA,NA,NA,0.14,0.175,0.27,NA,NA,NA,-0.0434,-0.0128,-0.0173
212657,EQUUS MINING LTD,0.015,0.012,0.01,0.092,0.05,NA,-0.0011,-0.0013,-9e-4,-0.0263,-0.131,NA
296250,ERM POWER LTD,2.42,NA,NA,NA,NA,NA,0.54,NA,NA,NA,NA,NA
318212,EROAD LTD,3.23,6.25,1.42,1.26,1.01,NA,0.0148,0.0269,-0.1004,-0.0271,-0.002,NA
345471,ERRAWARRA RESOURCES LTD,NA,NA,0.25,0.185,0.14,0.098,NA,NA,-0.1389,-0.0779,-0.0447,-0.033
259433,ESSENTIAL METALS LTD,0.019,0.125,0.175,0.46,0.485,NA,2e-4,9e-4,-0.0077,-0.0059,-0.0057,NA
317892,ESSITY AUSTRALASIA,1.01,1.4,NA,NA,NA,NA,0.0524,0.0703,NA,NA,NA,NA
318790,ESTIA HEALTH LTD,2.56,1.455,2.29,1.97,3.05,NA,0.1584,-0.4479,0.023,-0.201,-0.1313,NA
313567,ESTRELLA RESOURCES LTD,0.008,0.013,0.037,0.012,0.008,0.01,-0.0013,-0.0011,-7e-4,-0.0019,-0.0011,-0.0018
249491,EUMUNDI GROUP LTD,0.965,0.91,0.985,1.095,1.09,1.16,0.0516,-0.0251,0.1026,0.1674,0.0333,0.0771
274497,EUROPA METALS LTD,2e-4,0.085,0.0765,0.026,0.0205,0.02,NA,NA,NA,NA,NA,NA
296025,EUROPEAN LITHIUM LTD,0.094,0.049,0.105,0.077,0.076,0.037,-0.0051,-0.0049,-0.005,-0.0108,-0.0085,-0.1472
313565,EUROPEAN METALS HOLDINGS LTD,0.29,0.425,1.39,0.73,0.695,0.155,NA,NA,NA,NA,NA,NA
253340,EV RESOURCES LIMITED,0.012,0.029,0.032,0.025,0.014,0.005,-0.0029,-0.0039,-0.0047,-0.0028,-0.0056,-0.0031
275342,EVE HEALTH GROUP LIMITED,0.004,0.011,0.004,0.001,0.001,0.001,-0.0011,-8e-4,-0.001,-0.0013,-5e-4,-3e-4
279456,EVEREST METALS CORPORATION,0.0045,0.007,0.005,0.0025,0.1175,NA,-0.0013,-8e-4,-0.0017,-3e-4,-0.0246,NA
355769,EVERGREEN LITHIUM LTD,NA,NA,NA,NA,0.28,0.041,NA,NA,NA,NA,-0.0324,-0.0299
326452,EVION GROUP NL,0.049,0.065,0.125,0.082,0.036,0.027,-0.0458,-0.0206,-0.0224,-0.0144,-0.0121,-0.0092
350726,EVOLUTION ENERGY MINERALS,NA,NA,NA,0.26,0.165,0.037,NA,NA,NA,-0.0884,-0.0713,-0.0477
253350,EVOLUTION MINING LTD,4.53,5.75,3.49,2.05,3.29,4.64,0.1286,0.1771,0.2021,0.1774,0.0891,0.2202
200157,EVT LIMITED,13.49,9.64,15.26,12.97,11,10.78,0.666,-0.2235,-0.298,0.3308,0.6605,0.0297
249525,EVZ LTD,0.22,0.095,0.155,0.205,0.145,0.16,0.0174,-0.0286,0.0354,0.0089,0.012,0.0177
246003,EXCELSIOR CAPITAL LTD,1.175,1.565,1.63,2.06,2.98,3.13,0.1421,0.1269,0.1784,0.2759,0.3534,1.5416
282226,EXCITE TECHNOLOGY SERVICES,0.025,0.032,0.0175,0.006,0.009,NA,-0.1417,-0.0282,-0.0358,-0.0052,-0.0019,NA
329547,EXOPHARM LIMITED,0.4,0.315,0.585,0.135,0.01,NA,-0.0403,-0.0562,-0.0648,-0.0642,-0.0362,-0.0121
253421,EXORE RESOURCES LTD,0.091,NA,NA,NA,NA,NA,-0.0159,NA,NA,NA,NA,NA
319476,EXPERIENCE CO LTD,0.265,0.2075,0.36,0.2,0.22,0.135,-0.0868,-0.0714,-0.0086,-0.0194,-7e-4,-1e-4
346301,EZZ LIFE SCIENCE HOLDINGS,NA,NA,0.51,0.3,0.68,4.53,NA,NA,0.0598,0.0309,0.085,0.1616
351580,FALCON METALS LIMITED,NA,NA,NA,0.2,0.16,0.185,NA,NA,NA,-0.6406,-0.0523,-0.0314
351532,FAR EAST GOLD LIMITED,NA,NA,NA,0.685,0.165,0.165,NA,NA,NA,-0.0266,-0.0112,-0.0066
106438,FAR LTD,0.01,0.011,0.74,0.705,0.4,NA,-0.0035,-0.0016,-0.4137,-0.0522,-0.0466,NA
253430,FARM PRIDE FOODS LTD,0.29,0.19,0.32,0.13,0.14,0.105,-0.0699,-0.0393,-0.2169,-0.3585,-0.0989,-0.0163
320623,FARMAFORCE LTD,0.12,0.07,0.051,NA,NA,NA,-0.0054,-0.0131,-0.0076,NA,NA,NA
248791,FBR LTD,0.066,0.056,0.036,0.042,0.027,0.05,-0.0073,-0.0068,-0.0045,-0.0085,-0.007,-0.0068
351619,FELIX GOLD LTD,NA,NA,NA,0.14,0.0765,0.115,NA,NA,NA,-0.0151,-0.0126,-0.0075
345723,FELIX GROUP HOLDINGS LTD,NA,NA,0.25,0.165,0.076,0.16,NA,NA,-0.1082,-0.0561,-0.0391,-0.0262
289477,FENIX RESOURCES LTD,0.063,0.13,0.21,0.245,0.225,0.295,-0.0169,-0.0046,0.1206,0.1027,0.0511,0.0487
259624,FERRAUS LTD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316002,FERTOZ LTD,0.061,0.07,0.285,0.155,0.027,NA,-0.0141,-0.0102,-0.0194,-0.0177,-0.0179,NA
253436,FFI HOLDINGS LTD,4.1,5.9,6.6,4.95,4.5,4.3,0.3079,0.3195,0.8097,0.1131,0.1621,0.1612
272832,FIELD SOLUTIONS HOLDINGS LTD,0.017,0.044,0.185,0.099,0.049,0.021,-0.0013,-5e-4,0.0041,0.0017,-0.0032,-0.0037
254907,FIN RESOURCES LTD,0.013,0.018,0.042,0.022,0.012,0.005,-9e-4,-0.001,-0.0029,-0.009,-0.0046,-0.0056
